NAME,UNIDADES,PAIS,SKU,product_code,Availability,Product_URL,Image_URL,CategoryLevel_1,CategoryLevel_2,CategoryLevel_3,Marca,PriceRange,regular_price,sale_price,Compra_periodica,locale_ES-ES_Name,locale_ES-ES_regular_price,locale_ES-ES_Display_precio,locale_ES-ES_sale_price,locale_ES-ES_Display_sales,locale_ES-ES_Product_URL,locale_FR-FR_Name,locale_FR-FR_regular_price,locale_FR-FR_Display_precio,locale_FR-FR_sale_price,locale_FR-FR_Display_sales,locale_FR-FR_Product_URL,locale_UK-EN_Name,locale_UK-EN_regular_price,locale_UK-EN_Display_precio,locale_UK-EN_sale_price,locale_UK-EN_Display_sales,locale_UK-EN_Product_URL,locale_PT-PT_Name,locale_PT-PT_regular_price,locale_PT-PT_Display_precio,locale_PT-PT_sale_price,locale_PT-PT_Display_sales,locale_PT-PT_Product_URL,locale_IT-IT_Name,locale_IT-IT_regular_price,locale_IT-IT_Display_precio,locale_IT-IT_sale_price,locale_IT-IT_Display_sales,locale_IT-IT_Product_URL,locale_DE-DE_Name,locale_DE-DE_regular_price,locale_DE-DE_Display_precio,locale_DE-DE_sale_price,locale_DE-DE_Display_sales,locale_DE-DE_Product_URL,CATALOG_ID,CURRENCY_ID,DESCRIPTION,DESCRIPTION_TYPE,,MEASURE
producto1,1,,85956,85956,N,https://www.miscota.es/peces/ferplast/blustone-medium,https://www.miscota.es/media/1/photos/products/070190/70190-8010690104805_1_g.jpg,Peces,Decoración,Rocas y cuevas,Ferplast,LOW,124.8,,,Ferplast Blustone Medium 1 Kg,124.8,€12.48,,,https://www.miscota.es/peces/ferplast/blustone-medium,Ferplast Blustone moyen 1 Kg,124.8,€12.48,,,https://animaux.miscota.fr/poissons/ferplast/p-70190,Ferplast Blustone Medium 1 Kg,124.8,£12.48,,,https://www.miscota.co.uk/fish/ferplast/p-70190,Ferplast Blustone Pedras para decoração 1 Kg,124.8,€12.48,,,https://www.miscota.pt/peixe/ferplast/p-70190,Ferplast Blustone medio 1 Kg,124.8,€12.48,,,https://www.miscota.it/pesci/ferplast/p-70190,Ferplast Blustone Medium 1 Kg,124.8,€12.48,,,https://www.miscota.de/fisch/ferplast/p-70190,14,,,,,
producto2,2,,83504,83504,N,https://www.miscota.es/perros/hagen/guardadesechos,https://www.miscota.es/media/1/photos/products/030661/30661-0000000083504_1_g.jpg,Perros,Peluquería e higiene,Sanitarios y recoge excrementos,Hagen,LOW,0,,,Hagen Guardadesechos ,0,€0,,,https://www.miscota.es/perros/hagen/guardadesechos,Hagen Guardadesechos ,0,€0,,,https://animaux.miscota.fr/chiens/hagen/p-30661,Hagen Guardadesechos ,0,£0,,,https://www.miscota.co.uk/dogs/hagen/p-30661,Hagen Guardadesechos ,0,€0,,,https://www.miscota.pt/caes/hagen/p-30661,Hagen Guardadesechos ,0,€0,,,https://www.miscota.it/cani/hagen/p-30661,Hagen Guardadesechos ,0,€0,,,https://www.miscota.de/hunde/hagen/p-30661,14,,,,,
producto3,3,,526623,526623,Y,https://www.miscota.es/perros/dimac/p-44883,https://www.miscota.es/media/1/photos/products/044883/44883-0000000526623_1_g.JPG,Perros,Casetas y puertas,Casetas,Dimac,LOW,0,,,Dimac Ventana Kaseta Gris ,0,€0,,,https://www.miscota.es/perros/dimac/p-44883,Dimac Fenêtre Niche Grise ,0,€0,,,https://animaux.miscota.fr/chiens/dimac/p-44883,Dimac Ventana Kaseta Gris ,0,£0,,,https://www.miscota.co.uk/dogs/dimac/p-44883,Dimac Ventana Kaseta Gris ,0,€0,,,https://www.miscota.pt/caes/dimac/p-44883,Dimac Ventana Kaseta Gris ,0,€0,,,https://www.miscota.it/cani/dimac/p-44883,Dimac Ventana Kaseta Gris ,0,€0,,,https://www.miscota.de/hunde/dimac/p-44883,14,,,,,
